#fields=ID[type='string'],station name[type='string'],latitude,longitude,ellipsoid height[unit='m'],data_start_time[type='date' format='yyyy-MM-ddTHH:mm:ss],data_stop_time[type='date' format='yyyy-MM-ddTHH:mm:ss]
TWIW,Castle Rock_COMMA_ WA,46.2129,-122.1587,0.0,,
TWRI,Castle Rock_COMMA_ WA,46.1979,-122.2119,0.0,,
TWSP,Twisp_COMMA_ WA,48.3655,-120.1216,0.0,,
UFDA,Poulsbo_COMMA_ WA,47.755,-122.6671,0.0,,
VCWA,Vancouver_COMMA_ WA,45.6176,-122.516,0.0,,
VERN,Mt. Vernon_COMMA_ WA,48.4178,-122.3371,0.0,,
WACO,Hillsboro_COMMA_ OR,45.3123,-122.5925,0.0,,
WACS,Chehalis_COMMA_ WA,46.6754,-122.97,0.0,,
WAEV,Everett_COMMA_ WA,47.9815,-122.2081,0.0,,
WAMC,Wamic_COMMA_OR,45.2238,-121.2736,0.0,,
WCM1,Port Orchard_COMMA_ WA,47.5411,-122.6359,0.0,,
WDBN,Woodburn_COMMA_ OR,45.1708,-122.87,0.0,,
WEBG,Battle Ground_COMMA_ WA,45.7796,-122.5628,0.0,,
WEEZ,Everett_COMMA_ WA,47.9768,-122.2047,0.0,,
WIFC,Wife_COMMA_ OR,44.0334,-121.4903,0.0,,
WIFR,Wife Reset_COMMA_ OR,44.0597,-121.8176,0.0,,
WMSG,Government Camp_COMMA_ OR,45.1312,-121.5972,0.0,,
WNTH,Winthrop_COMMA_ WA,48.463,-120.1726,0.0,,
XANE,W. Wenatchee_COMMA_ WA,47.4448,-120.3662,0.0,,
YAKI,Yakima_COMMA_ WA,46.6049,-120.505,0.0,,
YAWA,Yakima_COMMA_ WA,46.6049,-120.505,0.0,,
YELM,Yelm_COMMA_ WA,46.9488,-122.6055,0.0,,
YONC,Drain_COMMA_ OR,43.6341,-123.2983,0.0,,
WAPS,SeaTac_COMMA_ WA,47.4512,-122.3208,0.0,,
WASQ,Snoqualmie_COMMA_ WA,47.5266,-121.8262,0.0,,
WAOY,Olympia_COMMA_ WA,47.0479,-122.8389,0.0,,
V096,Seattle_COMMA_ WA,47.6013,-122.336,0.0,,
V102,Seattle_COMMA_ WA,47.6005,-122.3355,0.0,,
WAPO,Kingston_COMMA_ WA,47.8035,-122.5692,0.0,,
BNDM,Bend_COMMA_ OR,44.0894,-121.3075,0.0,,
WAKI,Kirkland_COMMA_ WA,47.7088,-122.1875,0.0,,
RDTP,Red Top_COMMA_ Ellensburg_COMMA_ WA,47.2726,-120.7576,0.0,,
CHST,Chehalis_COMMA_ WA,46.6121,-122.9095,0.0,,
V081,Seattle_COMMA_ WA,47.6041,-122.3385,0.0,,
